0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,185.62276710356178,84.54505620511112,185.00449933919276,188.92438454528587,97.86777011379274,162.2565689086629
2,2,186.05945176389665,84.08496195563863,184.5307611106527,189.81838538824195,98.42780128874927,160.0559984048075
3,3,186.54807495564242,83.60834435144139,184.2176055698611,190.27933596883133,98.68956816035325,159.6429089164514
4,4,186.61473371500517,83.44073399435763,183.40080827338087,190.35926909154398,98.76742663057956,158.67040358148728
5,5,187.04843282497086,83.14277715413873,183.01847976990794,190.33738652240274,98.76352543872565,158.5855556385545
6,6,187.29793175159242,82.87593523703809,182.91094302023933,190.35232427175146,98.77368551561773,158.47491721883316
7,7,187.19777407541852,82.85497591255842,182.6032953124924,190.37666181127355,98.77646697244808,158.47343224014932
8,8,187.26733090555467,82.75866624909203,182.0981723010112,190.39216847018017,98.81303270238931,158.4151838284962
9,9,187.2432686636578,82.74810576936814,182.08376867411022,190.37825454452292,98.81612922267163,158.41606488334756
10,10,187.21943015644842,82.74839635475922,182.0081413836043,190.31215005188412,98.79556919479876,157.65704604159978
11,11,187.25031168596956,82.7171681796114,181.8225908950714,190.25262513140353,98.74237468129354,157.56661679077868
12,12,187.24498751454408,82.7135132420079,181.82500357857154,190.2162179891673,98.67738386805917,157.53964234426547
13,13,187.24958858042868,82.68787190849885,181.88841215754977,190.24751632304262,98.6880030624045,157.43918676068327
14,14,187.30435543683683,82.57972800203953,182.17353628152654,190.18941509833837,98.65602361471394,156.83272646485875
15,15,187.77741766544952,82.37863773249325,186.1494028650818,190.11844375618676,98.61296917630204,154.07144971782336
16,16,194.79699300244727,80.45883989728296,222.9557289752391,185.396322754629,97.3780434937878,128.8085417234132
17,17,201.428718093017,78.79616609336671,228.63712988263669,179.42984101077695,96.64244504475187,124.1357039589671
18,18,207.88034969284035,77.64999177825395,230.320619896423,173.59653155839354,96.42975575761591,130.41417028754117
19,19,212.13350963504953,77.18152787881915,228.95579042368456,168.30794444220473,96.55353185027917,140.86704972838544
20,20,214.62346980950338,77.07281658611045,226.67386695491734,167.57769684953044,96.80802441775728,140.65701666844052
21,21,216.43630228333495,76.99545831456967,224.96605114714276,166.35118475294874,97.07382303888028,141.28863969505022
22,22,216.38097692341196,77.01379667468015,224.7123487804451,167.48872393538772,97.14230891494333,139.42349953281007
23,23,215.6870223806392,76.91163615075193,224.4904597831748,167.91448474222665,97.26182142704516,139.80380247728317
24,24,215.383033065692,76.80178652358168,224.7711977210969,168.24118459471393,97.28942820982792,140.64145877753205
25,25,215.53031286656324,76.4852322791119,224.31767545204167,168.406838512587,97.28784224834465,141.55821188870254
26,26,215.60950588792184,76.35685442637266,224.59452983602193,168.7253931670549,97.33215369421805,142.1239324378987
27,27,215.48711281918077,76.30183760535122,224.9884992327188,169.02337699078606,97.36086011582347,142.28796570509567
28,28,216.37198297596828,76.4277945058804,223.84649188566502,169.51809347102338,97.47015254589189,140.55645842075438
29,29,217.71757523034123,76.64620620689269,216.47447921342888,169.67743152285414,97.91420150323336,143.0135729967587
30,30,217.80981727205062,77.69467474665862,202.5835899548512,170.601152389787,98.13005098086023,146.28065829595405
31,31,216.4393413341148,78.73147627948043,188.01651170388462,172.0522914106803,98.59162263495455,156.88034684169247
32,32,212.18691942746273,81.00592420440195,169.40491830411722,174.45089956417104,99.8807910376816,177.69201879577196
33,33,209.18178194060403,82.22627891988192,139.9577015321815,177.07556299591892,101.28038563585994,204.34553895541117
34,34,204.11850180782568,82.40624073911336,117.62778134370853,178.64834707237426,101.53634554442681,220.1305451110251
35,35,199.7584185895656,82.22244457090935,119.3739081606152,180.2062962639697,101.71063165333146,223.01317073393201
36,36,197.9268832352507,82.08368765550284,122.83190476026189,181.29953105884272,101.84371533017082,222.21942568132414
37,37,196.41929784594913,81.8723590361686,125.54046390088573,182.0842692329504,101.94342648152451,219.4494162460357
38,38,195.5716965204789,81.86430708577659,126.8345030488159,182.65567738666482,102.1071749031745,218.5478988617333
39,39,195.5605418866307,81.81220860851815,127.18698883888405,182.96410458383198,102.31074802740807,219.37278061763072
40,40,195.74104218197536,81.83013118213594,127.29229424784954,183.08020071237672,102.45998105452412,219.69342360805902
41,41,195.89788690064475,81.7822004269012,127.91016501977192,183.29515270217587,102.59064729123503,217.99031915548076
42,42,197.1048755253869,81.26125318510304,132.2297071657051,183.22096647787984,102.79207963234381,216.29439062196843
43,43,197.7589651411868,80.54836331766282,139.99223636734456,183.5206272843552,102.84265214253031,214.22453288349098
44,44,197.9851159034586,80.01706283222443,146.14318705611433,183.9128196398495,102.81185015333074,209.65741514192217
45,45,197.64096187744943,79.94126075942008,153.19370495865212,184.68914033493772,102.25901034349255,192.58328142997806
46,46,197.05729666355043,79.62090976711653,186.28967084220622,183.41458704516606,101.39953406647493,147.14098605031245
47,47,196.92533538725635,79.23945505883903,204.66399947296992,181.85788984198575,100.5084771386114,134.3415797452951
48,48,197.06343536030053,78.82106035497651,215.21963491401226,181.39906915013478,100.40324319797855,128.76935806944718
49,49,197.07496749502604,78.62057407064998,221.47201169278543,180.99396093340184,100.18691387911753,126.48105848078302
50,50,197.1418289791262,78.53063667814905,224.16660232178052,180.32292573618867,99.89289632974248,126.13513747948952
51,51,197.32461402267128,78.2538858084146,225.2380367532807,179.72115023990347,99.55387343557038,126.59120011229092
52,52,197.52331721938535,78.16081358538224,226.68550600286736,180.33039177820004,99.31123943315447,125.80089490643954
53,53,198.14187797431418,77.78215233615201,226.70493047474937,180.59062836457883,99.128628097307,125.2981679513747
54,54,198.3152522415809,77.69765450428508,227.55242912725183,180.63661865117714,98.93699800501969,125.0418249974426
55,55,198.37487375476422,77.67342345983697,228.4360120646279,180.61759351353953,98.76584140378827,124.63176373478814
