0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,178.47641515247054,93.59299288997666,191.8710710458866,175.62050229936617,96.03285965019785,157.87233317985408
2,2,178.10974839199554,93.75620646755114,192.07586260744102,176.8932237862361,97.01315641402277,158.2210759150377
3,3,177.65390501796938,93.93240293864577,192.37319985012581,177.6964917943137,97.72173056667111,159.143664324954
4,4,177.3391344963923,94.04241552929597,192.8850751989785,177.79031909808046,97.93157657888446,160.4360681124817
5,5,177.14247458764433,94.11971331284002,193.17547171151665,178.44932562380174,98.3454255434848,160.96523120517827
6,6,177.15730376793573,94.12770769459506,193.2610260506885,178.5093941437112,98.44985196205567,161.5699626874821
7,7,177.11111221613814,94.13421122530798,193.39915482267872,178.49103460251902,98.47263260803629,161.9037894991446
8,8,176.9722548777034,94.17352591318186,194.08379430014594,178.67101661027016,98.57466028558531,162.2405342566577
9,9,176.93668107737255,94.1602332396741,194.25294099894793,178.63783132764428,98.57361992235928,162.3964687080988
10,10,176.92492381653307,94.18368404504575,194.79292915618697,178.58703017397164,98.56175228543805,162.5781320158837
11,11,176.86544350614318,94.20064250190485,195.19382137343675,178.7510902785977,98.67297483386619,162.62008412991997
12,12,176.71379950518798,94.27761867629171,195.30563121574886,178.81354337558838,98.68251232045645,162.78195472997456
13,13,176.49878997111495,94.35819205372877,195.81399067945583,178.85481803045843,98.7052742724631,162.9243827029817
14,14,176.45340422908887,94.35836544518008,195.8558964777193,178.7894269407266,98.71345964052739,163.19764730413428
15,15,176.43817610284862,94.37104238121009,195.80429736409909,178.69532572510704,98.673605089776,163.27079112799805
16,16,176.4498351405032,94.36031724270622,196.25525890097802,178.3402738432513,98.62199162927459,161.67309624554235
17,17,176.55608639537715,94.42706634398549,198.31850946253982,177.70388108874246,98.555520007464,160.50548673839756
18,18,177.14463885349227,94.35925707252859,201.12439757463383,176.30732048826343,98.28865657143683,159.5547729339712
19,19,178.5462764658356,94.325792225308,203.93790793187028,173.8475698248771,97.82364358431215,157.94686277042118
20,20,181.25647727962772,94.28731146852016,205.5651856867699,170.6384209332754,97.57404612943384,160.88776856922559
21,21,201.97774464230446,94.2247832327466,186.735022627538,154.42729003174543,97.91838829067802,166.12599935164206
22,22,211.41592309293023,93.67702525736206,185.30052559038432,148.54328268947992,98.00283113627665,169.2364065636655
23,23,219.69357798911793,92.90385270616778,184.99365771802988,142.27466223001232,98.3885152951458,168.46134758151888
24,24,228.2809798080179,92.27707749951462,190.45041412004136,132.56674866661172,98.61418025275219,173.73506693967022
25,25,235.02859303730435,91.5761445781089,196.21247900335848,126.48645871688092,98.69996117902156,174.03050198890742
26,26,243.4258012522742,89.83684840758819,193.98424329922935,120.0619572385506,98.8087233832515,177.06991260912332
27,27,263.38195942410874,88.3259084783046,194.79591024059155,103.95038894386306,98.925518162088,179.62047496714908
28,28,270.21524527795253,88.60525110959178,189.69143800776624,97.1158922897423,98.7908854536172,180.88663300292478
29,29,273.5955159415426,88.95155181456174,186.2672034379158,93.55917624716682,98.6683328340792,180.54585115728406
30,30,277.1464392149171,89.11262489866958,184.21824181727496,90.09112709401523,98.20534704480548,179.68092657690207
31,31,280.920629823377,89.34658757269406,185.9661962084093,86.48878465342136,98.360963513885,178.88927288032434
32,32,284.2182715517642,89.71334070479868,188.74326343785756,84.0389470067733,98.41771753171832,176.8824236215916
33,33,293.59956116376594,90.40223997486498,192.21041709719464,72.18655359263374,98.93892995735166,177.80525198485049
34,34,296.1202351982511,90.93543846000885,188.5337640601615,69.14380352961314,99.09378464638462,176.02357851156376
35,35,298.45654659773476,91.55911728976464,187.1314683755766,65.77989454231897,99.58899510633609,172.05239248772426
36,36,300.20136012250987,92.36762627836828,189.15140486394242,63.017219049651146,100.59912808359809,167.78318723371427
37,37,302.24044761085634,93.49454594990513,191.27485100301018,60.022334691858816,101.41214946338329,163.12788009050487
38,38,308.4177483093801,95.33700674459013,196.13284417414835,51.63957016792688,102.57218256460044,163.23881956171167
39,39,311.06743051758235,97.23062757990414,195.9798173793072,48.125274972920806,103.01878219507603,166.9941767290739
40,40,312.86872406469314,97.75749392694286,196.37525931490023,46.827120190003825,104.18395229732357,168.10353828032595
41,41,315.0846742653228,97.67296302578416,198.15331246189785,46.38179067226855,105.17509561347322,168.1584962996744
42,42,316.43615642783436,97.77852738857433,199.39467187370727,45.949054292167546,105.66731942695594,167.60806704258508
43,43,316.93333027662123,97.54604823187691,196.8271482917832,46.135200488285136,105.86643015844314,169.14160056511716
