0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,191.58334903548032,85.38258922180471,179.56187314095655,183.13401425549412,99.55231109508492,157.87697322769034
2,2,191.6563155155799,85.29720843528608,179.92165065362073,182.93062040738735,100.39739369471704,159.4683616424588
3,3,191.73958332715475,85.14986409551452,180.13535917784768,182.94435966662002,101.0102918214356,160.58362032010882
4,4,191.5348843243731,85.07755391412009,180.2017494888363,183.42677947232934,101.44020677246044,160.44988617877692
5,5,191.60033624367423,84.97983141504517,180.14853662943534,183.65315747974472,101.65566842638015,160.3658941017204
6,6,191.66997428141676,84.82553366305795,180.14338815840665,183.85190662640235,101.87762461881596,160.42001890785016
7,7,191.59398418837108,84.82902758016422,180.2819375329325,183.91370076384152,101.97845836335159,160.58511002737123
8,8,191.57148513006865,84.78318018449465,180.4602458341583,183.93055031254758,102.07752743740645,160.88150169511044
9,9,191.53074410048958,84.7635543807241,180.5384308176089,184.14334330915443,102.23541259828966,160.94340720352585
10,10,191.01672787795573,85.00171935855384,180.93539527009293,183.96245616927598,102.40815767070666,162.01463735326243
11,11,190.59673151000578,85.20676942282618,181.55070881036966,183.8570117460986,102.50459482067629,161.99762355786805
12,12,190.26854701415238,85.36112278464178,181.8342686827466,183.7666011033874,102.60650596600311,161.28753007798596
13,13,189.88836389408266,85.60939753865898,182.37645148410044,183.66802076775608,102.73380469949586,161.82174767072502
14,14,189.46571578142704,85.81532814976484,182.8675121029961,183.4126224580667,102.84401407857263,161.9627714429764
15,15,189.14327713998142,86.00645809858614,183.07100214275792,183.20749321966957,102.86971337920085,162.4990274375298
16,16,189.37963587891164,86.17687365610337,183.30408112108768,183.03620078119684,102.90074760798876,161.16170338305952
17,17,190.09920144740315,86.2026923975329,182.60390215043836,182.75956906430702,102.93160949888306,161.23351198866672
18,18,191.25806947218052,86.23734120688488,180.36024539366502,182.22321223221132,102.89880212352983,161.29676050738027
19,19,192.1545900142689,86.18486789102889,179.69294900545387,181.76280782510756,102.91308087139294,162.016126963573
20,20,192.84821652486627,86.18551737506385,178.52906004657598,181.16592900230532,102.86757971119778,162.27961627024516
21,21,193.84759622689452,86.11240185591416,175.68549577956955,180.2629541658472,102.98377582091814,161.8925106440938
22,22,194.28260216468465,85.87885319604462,174.99738436061727,179.1984417701635,103.683574772302,161.05789987434468
23,23,194.05550222605447,85.79691556199528,174.70009752900657,178.99491986990125,104.43156627050473,161.71266916052062
24,24,193.90702370458655,85.66926848333053,174.13795687688273,179.04798039377326,105.16571835195435,163.03487005293138
25,25,193.55746335345464,85.52251462440778,174.43325612088952,179.23497187865553,105.70396998928445,164.55853712478637
26,26,193.03942351180817,85.0898797269944,175.26694666870625,179.1467455231967,105.90705732766929,165.01166678986527
27,27,192.5878554964357,84.90134450762011,176.04556681882588,179.1853017813463,106.06176190359164,165.75466547104665
28,28,192.00558432464453,84.78280651304004,176.3527581623033,179.72138957814408,106.32461938982846,165.05104886087994
29,29,191.69233584620974,84.56243927398253,177.07116975041208,179.73693507553926,106.36563433459895,164.56703263459198
30,30,191.49335939142927,84.41670945689712,177.4373304243245,179.88005706470523,106.45458503146116,164.6638771623922
31,31,191.3819605376629,84.18315593354936,177.07472939198672,179.9860223066875,106.4430012847181,164.4076427264553
32,32,191.47855265238414,83.91037514384553,176.9856131502816,180.174698916628,106.57415296573524,164.6471291767352
33,33,191.4929806185839,83.97775992028298,177.00243972637367,179.63326154122075,106.17142440446241,163.99045599275644
34,34,191.51349323232932,84.0995269310438,177.07616109266857,179.13230561762163,105.43252157947495,160.88533138254542
35,35,191.92832581633405,84.33652514036677,177.10945746977438,179.10360967735107,104.91322715771716,159.79469764628877
36,36,192.38642958657164,84.44019110377238,178.08940299339392,179.70396545609705,104.80327811995289,161.04479445622437
37,37,193.25818547001123,84.55173799302439,176.67210057017675,179.93714090398484,104.487827556593,159.44832381163778
38,38,194.33874366886218,84.79316696992335,174.96401283722548,179.38405546246818,103.8261428777173,159.79438718397762
39,39,195.8514691053446,85.06942303539172,172.77751437604337,179.32366037753465,103.4801908856902,159.34564871981883
40,40,197.86537606618194,85.93554473503404,173.22729732825326,180.82926431665356,103.3016002891024,158.50999954872762
41,41,198.60579102387268,86.81953225804959,172.86633623954583,181.68937792024448,103.42171756578534,157.70702069890976
42,42,198.03016299437206,87.57103890378231,173.90052804621772,182.2986500602512,103.65414972367967,157.75052910787844
43,43,197.55095833225377,88.17490565890104,174.3209591166684,183.18977197318182,103.85514010402164,159.38510479688458
44,44,197.32460714461575,88.66763486961177,174.9864092822644,183.74133638275308,103.89447393813617,160.39752821817123
45,45,197.44288254017005,89.02057381399158,175.1851739407614,184.1317409680115,103.90102392346813,161.26581248849877
46,46,196.95585921351676,89.85215724989185,176.5864182404208,186.37540693019622,103.98004673434582,160.51114403988134
47,47,196.56925471974026,90.32657313383001,176.32254734712944,187.23963136620594,103.82060597598542,160.0705870387684
48,48,195.9020531562422,90.71945805678347,176.3752209243682,187.38030538010605,103.6647485323922,160.74398305489282
49,49,195.55649294056735,90.87696554288445,176.2186079921336,187.42264530392455,103.56350267043354,160.81340349664003
50,50,195.35536403331406,90.95972378513629,175.9086151382596,187.37588268385426,103.54918301813876,160.6713487158238
51,51,195.06783304049753,91.05772271771396,175.83158975315118,187.47684366928254,103.57289906295989,161.23172529709703
52,52,194.95393551709697,91.0790193526245,176.08664317320054,187.51624133966945,103.72209255708782,160.99470980484276
53,53,194.85019288404268,91.10006789495804,176.20422289652765,187.3973825839703,103.72640905169817,160.85950791331433
54,54,194.85467746370563,91.04070320310362,176.17721841559083,187.37061928024673,103.74825251698712,160.98173120685368
55,55,194.78192744731888,91.06974333341576,176.29579988059837,187.21067014870178,103.80639951175175,161.36833342204406
56,56,194.70108668977454,91.12300853964908,176.27840112505135,186.77322183249618,103.89428813717825,161.26843779534644
