0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,178.79044061305495,88.95319750885666,172.86176581915294,187.75950021419115,101.0341104431256,153.4730832023637
2,2,178.5404218685951,88.53543709272934,172.24406992875498,186.79770361590738,100.57328530875486,159.52623734148506
3,3,178.37353131946642,88.2239678365059,171.85390419731297,186.52330234116582,100.5145192795004,162.16405488634732
4,4,178.5317523689013,87.96686467902106,171.77410333144894,186.092649674685,100.35518888469221,162.4319705343475
5,5,178.48152016986847,87.83410032159276,171.68390906654835,185.6590394166937,100.2020254323358,162.87523497071163
6,6,178.64552763744422,87.61050129761044,171.56029167724503,185.1696872588131,100.05498636165186,163.37681129241378
7,7,178.70763493808974,87.48042254463427,171.49834033357118,184.99660448445172,100.00427185232127,163.79833780710712
8,8,178.8541959363749,87.35361013825352,171.44726844830944,184.89868088607795,99.98493496220084,163.996998283892
9,9,179.04050082245638,87.18498603966275,171.42326790344566,184.8189601061355,99.96450633882375,163.40484813188397
10,10,179.07771112283012,87.13454996814671,171.41788167633143,184.73277875839258,99.96045122079715,163.07194484131904
11,11,179.07909632581195,87.11541938537664,171.39184273015968,184.63551965842117,99.91274822707487,161.44054977792305
12,12,178.82321477634278,87.2225586906389,171.68146058840412,184.61465463517249,99.87934938639273,161.86821571293063
13,13,178.5095749246898,87.37388708445299,171.88807257565878,184.4454892041677,99.7817431130801,161.8889159722283
14,14,178.30412262830976,87.50819650359556,171.9665621734138,184.42002189248393,99.80277958718,161.7984219677123
15,15,178.24542527412066,87.552405168456,171.9976249069956,184.44886981900038,99.79290793026104,162.60707889197332
16,16,178.1127957116334,87.65085094662443,172.2505984583906,184.43793044534243,99.75136629023154,162.3316193830879
17,17,177.9456809740826,87.77012504434524,172.51948081796178,184.43189180704437,99.74988435241443,162.34482396872443
18,18,177.6479842398931,87.9224475696478,173.46943035539377,184.3123898936364,99.75575622439499,159.84975677201714
19,19,177.60640342529538,87.9268173679539,174.3176055396079,184.0296847839585,99.63880289069482,157.44879470282524
20,20,177.75841298864782,87.87085585238734,174.85428877149383,183.84938268144052,99.6346892744333,156.58942062010786
21,21,177.64962307497663,87.93762881787882,175.65926740423996,183.90198955694382,99.74748556316626,156.58114992057813
22,22,177.55953395203701,88.01581176742678,176.41126697198558,183.69836021822067,99.75998909550412,157.1942673853686
23,23,177.74439601131806,88.15568576315867,175.91991458573455,183.7879578134005,99.8730117413046,158.15830182809194
24,24,177.04909419398575,89.0167438145835,158.79281793906574,186.23781598271646,102.05738442145855,193.06438859230025
25,25,175.99966081065367,89.63748612384396,147.7793791560169,187.48653464897853,102.99801378836764,204.58601854487372
26,26,175.9217974761928,89.61213630062961,143.75723307671367,188.02972589293051,103.20072584755621,215.31385897450875
27,27,175.8888751807645,89.5921079261272,140.53616566849186,188.05799363901187,103.17340866600023,213.52829313328888
28,28,175.92214761313238,89.51104454371327,138.2191562151363,188.3286158485603,103.21150592189872,217.0204614000626
29,29,175.93634400041293,89.44924511748384,138.2703914179181,188.3237709349027,103.09915858120127,217.89131104202374
30,30,175.6997094709924,89.67203922428065,138.360298932141,188.26815804011943,103.02760396149478,216.3314560505157
31,31,175.15030912396557,90.01614025996975,138.47549281140158,188.36135815301196,103.05702516390579,216.126968119893
32,32,174.7984998438088,90.19999025109664,138.99709450052666,188.46297004842316,103.07501964638925,215.55179503301173
33,33,174.6428789435071,90.25024892992398,139.21008050883748,188.46887819360185,103.07705248778421,215.5445220273337
34,34,174.68543997233954,90.24389480366052,139.37636380318514,188.45374161428026,103.07154244658955,215.5515403007891
35,35,174.52833052167261,90.28965803307176,139.49065207551234,188.4675133988028,103.04262362611371,215.7485203662846
