0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,173.9611405607058,11.049065734013668,173.26019041532956,186.83356606793313,12.340251745487308,187.12873399554258
2,2,173.51914831451654,11.278040650661767,173.32582184108958,186.42127214989458,12.10113510804274,187.14493084061746
3,3,173.35607867991519,11.324195691028079,173.14458755170122,185.90398785389624,11.820843189205902,187.40548170288622
4,4,173.17854029082784,11.416980902589671,173.0904009793882,185.47183663645927,11.571454540612308,187.5239234982584
5,5,173.1517882289797,11.433343770975757,173.0180289434674,185.00397895983585,11.277832219641311,187.32850540089123
6,6,173.19366749929384,11.415319558297526,172.95657424907037,184.51240124325776,10.957398413241094,187.26516361677764
7,7,173.3526221398156,11.326697789085184,173.05624004936303,183.99928793800152,10.633236552436472,187.19095068815798
8,8,173.49692975686722,11.20311249214092,173.1707335348296,183.6955116223467,10.494623834436482,187.24427150843138
9,9,173.60487025439858,11.1528962123116,173.1910527794737,183.37417879640222,10.335487694942117,187.40122158761304
10,10,173.6216963547052,11.108048281497194,173.39557458156642,183.28252605268523,10.21107442780658,187.3728800143772
11,11,173.66172031375402,11.058566488284356,173.50198014370687,183.1906007310689,10.159043592341561,187.31451873952406
12,12,173.7954033088111,11.062997497253763,173.45708299835624,182.97402107143756,10.009649868354927,187.34983952548947
13,13,173.82558819218485,11.031393712800128,173.4966607415925,182.88099840655744,9.95522304674256,187.41016356380226
14,14,173.9113492439351,11.008854386767776,173.4122064971694,182.84570194130774,9.937270699066119,187.44038776761082
15,15,173.90699906487268,11.012937638254146,173.38676054589249,182.70151469090806,9.882096100457034,187.50695278854016
16,16,173.9353956980569,11.011624805427992,173.29321422221855,182.69217205981795,9.900116956507816,187.46320253779885
17,17,173.98399054647177,10.982108455678864,173.31225052629497,182.4991470411113,9.904766546720907,187.92607196365924
18,18,174.62992131204828,10.939919119098063,172.68817201741865,182.03318124780517,10.004066138291535,187.3354496753832
19,19,175.134247667406,10.545784112413246,173.26198396028366,180.4459497200417,10.226364900738133,185.93555024646056
20,20,175.7789766976117,10.622362775888963,176.23746493034798,177.66689744324415,10.624311240318377,185.5558860044822
21,21,182.42139658470745,19.039386980205887,180.25687634559998,171.26126391575235,19.227825436010335,186.10453890161526
22,22,184.3292725257983,23.443052624733507,182.14566282816492,174.24940294685345,26.093718852659038,187.3580369341337
23,23,187.80304220886885,27.260863157114464,177.82762244372265,176.37241474154715,32.2979232312893,183.13108177850708
24,24,189.15046586561095,32.82773104150619,177.08286061771489,177.77403836966886,38.02132752371841,179.04498501412272
25,25,188.72069468732596,38.64995224133541,175.27189334094683,178.0365528257827,45.092583224522286,176.0334488391677
26,26,189.36177531102467,44.57550916698846,177.05234690978676,172.0716852562212,51.00224576641148,192.56124573952553
27,27,185.27655117891945,74.79553266091722,170.01109166106014,173.2308293297149,80.16915440789745,180.50340031786405
28,28,183.01657561426035,82.8706589561772,174.7620036594036,179.20272760500035,89.98120415418475,174.690931431929
29,29,180.64149529676922,90.20537063053429,172.823655677232,179.93916045131382,97.19201141169219,178.22155124630348
30,30,185.34965578258326,94.34500817605236,175.45379403783824,178.14201212896862,100.8420296757497,184.19505546445544
31,31,187.5109390011287,97.6216652482803,176.12219825201547,181.22533716096592,105.72440232307045,183.1017520212922
32,32,186.38364690961555,100.6181795152425,172.3101972857168,181.1267405231668,107.54275266254552,178.2338734712184
33,33,184.26810856725612,104.2748364334995,171.3199270118451,177.71654974650218,109.24186004967194,180.7762691439191
34,34,184.64394501058302,103.19145326643951,172.0032706280823,176.27584004115013,108.71492278331175,184.01562324710423
35,35,184.59134297540555,102.27760307055848,172.47939698424415,176.8259429409086,108.5177739088366,183.01494353482644
36,36,186.10365210113565,100.64425730008321,174.85876719265457,177.1714477821524,107.9827254318248,178.90759092618234
