,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1,RIGHT_WRIST,0.32249781489372253,1.3909958600997925,-1.4449049234390259,RIGHT_ELBOW,0.2045779675245285,1.4158724546432495,-0.6273156404495239,RIGHT_SHOULDER,0.2568592429161072,0.9953649044036865,0.9953649044036865,RIGHT_HIP,0.3563094139099121,1.7549288272857666,0.06711751967668533,LEFT_WRIST,0.6266334056854248,1.043737769126892,-1.251833200454712,LEFT_ELBOW,0.8457013368606567,1.3127433061599731,-0.7269623875617981,LEFT_SHOULDER,0.7362436056137085,0.9581074118614197,-0.28857704997062683,LEFT_HIP,0.6754121780395508,1.734852910041809,-0.061281658709049225,RIGHT_PINKY,0.34122520685195923,1.408994197845459,-1.6069797277450562,RIGHT_INDEX,0.35502398014068604,1.350333333015442,-1.5711735486984253,LEFT_PINKY,0.5879263877868652,0.9796761274337769,-1.3719958066940308,LEFT_INDEX,0.5665723085403442,0.9310839176177979,-1.3012317419052124,"
"
1,2,RIGHT_WRIST,0.3586672842502594,1.2341575622558594,-1.7558809518814087,RIGHT_ELBOW,0.20450857281684875,1.4350372552871704,-0.9558215141296387,RIGHT_SHOULDER,0.2557446360588074,0.9989449977874756,0.9989449977874756,RIGHT_HIP,0.35944899916648865,1.7796549797058105,0.07618993520736694,LEFT_WRIST,0.6112409234046936,1.036283254623413,-1.4810328483581543,LEFT_ELBOW,0.8422733545303345,1.338476300239563,-1.0168583393096924,LEFT_SHOULDER,0.7368541955947876,0.958960235118866,-0.4560667872428894,LEFT_HIP,0.6782926917076111,1.747821569442749,-0.07076579332351685,RIGHT_PINKY,0.39512234926223755,1.170207142829895,-1.8989970684051514,RIGHT_INDEX,0.4245375096797943,0.9943522214889526,-1.795371413230896,LEFT_PINKY,0.558449387550354,0.9672487378120422,-1.5704436302185059,LEFT_INDEX,0.5544688105583191,0.9305011034011841,-1.4489315748214722,"
"
2,3,RIGHT_WRIST,0.3568810820579529,1.4969605207443237,-1.2469117641448975,RIGHT_ELBOW,0.20287969708442688,1.4396910667419434,-0.6261764168739319,RIGHT_SHOULDER,0.2557266652584076,0.999557375907898,0.999557375907898,RIGHT_HIP,0.35942545533180237,1.786428451538086,0.09561197459697723,LEFT_WRIST,0.5915796160697937,1.0280392169952393,-1.4361462593078613,LEFT_ELBOW,0.8375959396362305,1.3662863969802856,-0.9813685417175293,LEFT_SHOULDER,0.7368314862251282,0.9596146941184998,-0.4751685559749603,LEFT_HIP,0.6782726049423218,1.757869005203247,-0.0901145488023758,RIGHT_PINKY,0.38993701338768005,1.550279140472412,-1.3728322982788086,RIGHT_INDEX,0.41293635964393616,1.4912219047546387,-1.3509681224822998,LEFT_PINKY,0.5274146199226379,0.9514119625091553,-1.5444071292877197,LEFT_INDEX,0.5318382382392883,0.9276551008224487,-1.424879789352417,"
"
3,4,RIGHT_WRIST,0.3531995415687561,1.6585886478424072,-1.136365294456482,RIGHT_ELBOW,0.20294813811779022,1.4618916511535645,-0.5603442788124084,RIGHT_SHOULDER,0.25388991832733154,1.0000426769256592,1.0000426769256592,RIGHT_HIP,0.3587089776992798,1.7913365364074707,0.10189173370599747,LEFT_WRIST,0.5944741368293762,1.0281765460968018,-1.4429512023925781,LEFT_ELBOW,0.8477426767349243,1.3718215227127075,-0.9339598417282104,LEFT_SHOULDER,0.7364978790283203,0.9606453776359558,-0.49117231369018555,LEFT_HIP,0.6782697439193726,1.7640013694763184,-0.09622842073440552,RIGHT_PINKY,0.38442474603652954,1.7538402080535889,-1.254177212715149,RIGHT_INDEX,0.40326276421546936,1.696770191192627,-1.2600890398025513,LEFT_PINKY,0.5342463254928589,0.9547678232192993,-1.5680800676345825,LEFT_INDEX,0.5354695916175842,0.9300265908241272,-1.4562386274337769,"
"
4,5,RIGHT_WRIST,0.3494940400123596,1.6469002962112427,-1.0072743892669678,RIGHT_ELBOW,0.20321600139141083,1.45814049243927,-0.49763384461402893,RIGHT_SHOULDER,0.25359734892845154,1.0001391172409058,1.0001391172409058,RIGHT_HIP,0.35886746644973755,1.7893480062484741,0.10245455801486969,LEFT_WRIST,0.6093870997428894,1.1025341749191284,-1.4234821796417236,LEFT_ELBOW,0.8680025339126587,1.3663864135742188,-0.9001046419143677,LEFT_SHOULDER,0.7362264394760132,0.9612226486206055,-0.5065637826919556,LEFT_HIP,0.6787134408950806,1.7627074718475342,-0.09668689966201782,RIGHT_PINKY,0.37484145164489746,1.7442171573638916,-1.1202876567840576,RIGHT_INDEX,0.3990459144115448,1.6879369020462036,-1.1327712535858154,LEFT_PINKY,0.6461637020111084,1.1761558055877686,-1.5556650161743164,LEFT_INDEX,0.5604195594787598,1.0141589641571045,-1.4696327447891235,"
"
5,6,RIGHT_WRIST,0.33486348390579224,1.663492202758789,-1.0006219148635864,RIGHT_ELBOW,0.20512107014656067,1.4555555582046509,-0.5250697731971741,RIGHT_SHOULDER,0.25382035970687866,1.000154972076416,1.000154972076416,RIGHT_HIP,0.3601323664188385,1.7882943153381348,0.10045391321182251,LEFT_WRIST,0.7295547723770142,1.3181716203689575,-1.3737132549285889,LEFT_ELBOW,0.883088231086731,1.3602885007858276,-0.8576856851577759,LEFT_SHOULDER,0.7361999750137329,0.9628041982650757,-0.5933676958084106,LEFT_HIP,0.6804372072219849,1.7617899179458618,-0.09468008577823639,RIGHT_PINKY,0.35105350613594055,1.7637593746185303,-1.1221956014633179,RIGHT_INDEX,0.38261646032333374,1.7156533002853394,-1.1545782089233398,LEFT_PINKY,0.7235808372497559,1.3431826829910278,-1.517450213432312,LEFT_INDEX,0.6846113204956055,1.296183466911316,-1.4415603876113892,"
"
6,7,RIGHT_WRIST,0.3415851891040802,1.621795415878296,-1.107987880706787,RIGHT_ELBOW,0.2051231414079666,1.453842282295227,-0.5979769229888916,RIGHT_SHOULDER,0.25333720445632935,1.0003687143325806,1.0003687143325806,RIGHT_HIP,0.35768452286720276,1.7873934507369995,0.10075446218252182,LEFT_WRIST,0.6441096067428589,1.1112887859344482,-1.3713198900222778,LEFT_ELBOW,0.8749960064888,1.3589013814926147,-0.8949857950210571,LEFT_SHOULDER,0.73619544506073,0.9628697037696838,-0.5409948825836182,LEFT_HIP,0.6790146827697754,1.761968731880188,-0.09503869712352753,RIGHT_PINKY,0.3669949173927307,1.700532078742981,-1.1824966669082642,RIGHT_INDEX,0.3891803026199341,1.6853461265563965,-1.2281112670898438,LEFT_PINKY,0.5819026231765747,1.0495470762252808,-1.486416220664978,LEFT_INDEX,0.5897539258003235,1.0307663679122925,-1.368177890777588,"
"
7,8,RIGHT_WRIST,0.34101659059524536,1.6006711721420288,-1.178403377532959,RIGHT_ELBOW,0.2054286003112793,1.453282117843628,-0.6642025709152222,RIGHT_SHOULDER,0.2533333897590637,1.0005334615707397,1.0005334615707397,RIGHT_HIP,0.3578687310218811,1.7846964597702026,0.0907655730843544,LEFT_WRIST,0.6582661867141724,1.133940577507019,-1.3770520687103271,LEFT_ELBOW,0.886621356010437,1.3443483114242554,-0.8755815625190735,LEFT_SHOULDER,0.7361282706260681,0.9628954529762268,-0.5294082760810852,LEFT_HIP,0.681208074092865,1.7588856220245361,-0.08475374430418015,RIGHT_PINKY,0.36685115098953247,1.6606671810150146,-1.2872307300567627,RIGHT_INDEX,0.38820895552635193,1.6241469383239746,-1.286637783050537,LEFT_PINKY,0.6795441508293152,1.2021700143814087,-1.5010243654251099,LEFT_INDEX,0.610381007194519,1.0382617712020874,-1.428113341331482,"
"
8,9,RIGHT_WRIST,0.34054356813430786,1.5731513500213623,-1.167534589767456,RIGHT_ELBOW,0.2056134045124054,1.4522510766983032,-0.6549293994903564,RIGHT_SHOULDER,0.25239959359169006,1.0009291172027588,1.0009291172027588,RIGHT_HIP,0.35866668820381165,1.7842488288879395,0.0906916931271553,LEFT_WRIST,0.6641205549240112,1.1450515985488892,-1.2714017629623413,LEFT_ELBOW,0.8855290412902832,1.3293564319610596,-0.7824994921684265,LEFT_SHOULDER,0.7360905408859253,0.9630467295646667,-0.5239261388778687,LEFT_HIP,0.682765007019043,1.7588156461715698,-0.0846935287117958,RIGHT_PINKY,0.3662312924861908,1.6275513172149658,-1.2939132452011108,RIGHT_INDEX,0.38738733530044556,1.5791261196136475,-1.2896931171417236,LEFT_PINKY,0.7092581987380981,1.2486556768417358,-1.3944646120071411,LEFT_INDEX,0.618110179901123,1.0445717573165894,-1.3489153385162354,"
"
9,10,RIGHT_WRIST,0.3487323522567749,1.3573397397994995,-1.5037062168121338,RIGHT_ELBOW,0.19903767108917236,1.4490500688552856,-0.8208805322647095,RIGHT_SHOULDER,0.25169867277145386,1.0010416507720947,1.0010416507720947,RIGHT_HIP,0.35782724618911743,1.7838858366012573,0.08912504464387894,LEFT_WRIST,0.6262796521186829,1.0660061836242676,-1.390445590019226,LEFT_ELBOW,0.8702572584152222,1.3441394567489624,-0.9475125074386597,LEFT_SHOULDER,0.7358514070510864,0.9637803435325623,-0.5060009360313416,LEFT_HIP,0.6810404062271118,1.7588937282562256,-0.08329802006483078,RIGHT_PINKY,0.3878282904624939,1.3438303470611572,-1.6326348781585693,RIGHT_INDEX,0.3945504128932953,1.292673110961914,-1.5494115352630615,LEFT_PINKY,0.5870103240013123,1.016953945159912,-1.4696534872055054,LEFT_INDEX,0.5843826532363892,0.9626662731170654,-1.363788366317749,"
"
